Rank,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
35,Julius Randle,MIN,31,70,43,27,33.0,21.2,7.4,15.2,48.6,1.4,4.4,31.5,5.1,6.2,81.8,1.7,5.2,6.8,5.1,2.7,1.1,0.2,2.9,38.5,15.0,3.0,3.2
36,Dillon Brooks,PHX,30,50,30,20,30.6,20.9,7.7,17.4,44.0,2.3,6.8,34.3,3.2,3.8,85.6,0.8,2.9,3.7,1.8,1.8,1.0,0.2,3.3,29.7,0.0,0.0,-0.7
37,Jayson Tatum,BOS,28,6,5,1,29.4,20.7,7.5,18.0,41.7,3.0,9.8,30.5,2.7,3.0,88.9,0.8,7.7,8.5,4.0,1.8,1.2,0.0,1.5,38.5,3.0,0.0,10.5
38,Desmond Bane,ORL,27,69,38,31,34.2,20.6,7.4,15.1,49.0,2.1,5.3,39.4,3.7,4.0,92.5,1.2,2.9,4.2,4.2,2.0,1.0,0.4,3.2,34.2,1.0,0.0,1.4
39,Brandon Miller,CHA,23,53,33,20,30.1,20.4,7.0,16.4,43.0,3.1,8.1,38.5,3.2,3.6,89.5,1.1,4.0,5.0,3.5,2.8,1.1,0.8,2.8,34.4,3.0,0.0,4.5
40,Anthony Davis,WAS,33,20,10,10,31.3,20.4,8.5,16.7,50.6,0.5,1.9,27.0,3.0,4.1,72.8,3.1,8.0,11.1,2.8,2.1,1.1,1.7,2.1,44.0,13.0,0.0,-2.5
41,Nickeil Alexander-Walker,ATL,27,66,35,31,33.3,20.3,6.9,15.4,44.6,3.2,8.1,39.0,3.4,3.8,89.7,0.6,2.8,3.5,3.7,2.1,1.3,0.5,2.2,33.4,2.0,0.0,1.9
42,Alperen Sengun,HOU,23,59,36,23,33.5,20.3,8.0,15.8,50.6,0.5,1.8,28.3,3.8,5.5,69.1,3.0,5.9,8.9,6.1,3.3,1.2,1.1,3.2,43.6,28.0,3.0,2.3
43,Bam Adebayo,MIA,28,61,32,29,31.9,20.2,7.0,15.8,44.4,1.7,5.4,32.4,4.4,5.7,77.1,2.1,7.7,9.7,2.9,1.7,1.1,0.7,1.8,40.0,26.0,0.0,5.5
44,Ty Jerome,MEM,28,13,3,10,22.3,20.2,6.8,14.1,48.6,2.8,6.7,42.5,3.6,4.2,87.0,0.8,2.3,3.1,5.7,1.9,1.1,0.2,2.0,34.4,0.0,0.0,-2.7
45,Cooper Flagg,DAL,19,58,19,39,33.6,20.1,7.7,16.4,47.0,1.0,3.4,28.6,3.7,4.6,80.5,1.2,5.4,6.6,4.5,2.3,1.1,0.9,2.1,38.5,10.0,0.0,-3.6
46,Karl-Anthony Towns,NYK,30,65,42,23,31.2,20.0,6.8,13.9,49.2,1.6,4.3,36.6,4.8,5.6,85.2,3.1,8.8,11.8,2.9,2.5,0.9,0.6,3.5,40.5,48.0,0.0,5.9
47,Jimmy Butler III,GSW,36,38,23,15,31.1,20.0,6.3,12.2,51.9,0.8,2.2,37.6,6.5,7.6,86.4,2.3,3.2,5.6,4.9,1.6,1.4,0.2,1.2,37.4,3.0,0.0,4.9
48,LaMelo Ball,CHA,24,60,33,27,27.6,19.5,6.9,17.1,40.4,3.6,9.8,36.4,2.2,2.4,89.7,0.9,4.0,4.9,7.1,2.8,1.2,0.3,2.7,37.5,9.0,1.0,5.7
49,Ja Morant,MEM,26,20,7,13,28.4,19.5,6.6,16.1,41.0,1.0,4.3,23.5,5.3,5.9,89.7,0.4,2.9,3.3,8.1,3.6,1.0,0.3,2.0,35.8,8.0,0.0,-2.5
50,Dejounte Murray,NOP,29,9,5,4,27.3,19.4,7.2,13.1,55.1,1.8,4.9,36.4,3.2,3.9,82.9,0.2,5.1,5.3,5.9,3.7,1.7,0.2,2.8,36.7,1.0,0.0,7.1
